cluster,app,keyword,popularity,competitiveness,num_apps,rank,importance
jeux-educatifs-enfant,ABCmouseFun,parent square,77,84,248,50,10.06
jeux-educatifs-enfant,ABCmouseFun,student vue,71,80,249,64,8.79
jeux-educatifs-enfant,ABCmouseFun,student square,68,97,249,17,11.68
jeux-educatifs-enfant,ABCmouseFun,kids games,65,72,202,16,11.37
jeux-educatifs-enfant,ABCmouseFun,勉強,65,96,248,124,7.06
jeux-educatifs-enfant,ABCmouseFun,khan academy,64,87,248,29,9.51
jeux-educatifs-enfant,ABCmouseFun,pbs kids,64,83,242,20,10.50
jeux-educatifs-enfant,ABCmouseFun,kids youtube kids,64,51,230,24,9.99
jeux-educatifs-enfant,ABCmouseFun,gamestop,62,53,215,88,7.19
jeux-educatifs-enfant,ABCmouseFun,family link,62,97,247,155,6.47
jeux-educatifs-enfant,ABCmouseFun,baby games,61,62,230,29,9.07
jeux-educatifs-enfant,ABCmouseFun,toddler games for free,60,67,235,21,9.71
jeux-educatifs-enfant,ABCmouseFun,lingokids,59,98,242,6,14.57
jeux-educatifs-enfant,ABCmouseFun,the baby in yellow,59,94,250,93,6.77
jeux-educatifs-enfant,ABCmouseFun,reading com,59,60,180,20,9.68
jeux-educatifs-enfant,ABCmouseFun,math games,58,97,250,26,8.86
jeux-educatifs-enfant,ABCmouseFun,school,58,96,250,192,5.83
jeux-educatifs-enfant,ABCmouseFun,ixl,58,100,249,50,7.58
jeux-educatifs-enfant,ABCmouseFun,khan academy kids,58,89,245,8,12.78
jeux-educatifs-enfant,ABCmouseFun,abc,57,68,247,63,7.08
jeux-educatifs-enfant,ABCmouseFun,boddle,57,70,235,4,16.97
jeux-educatifs-enfant,ABCmouseFun,kid games,56,80,206,45,7.49
jeux-educatifs-enfant,ABCmouseFun,google family link,56,84,243,216,5.52
jeux-educatifs-enfant,ABCmouseFun,pbs kids games,56,67,231,15,9.99
jeux-educatifs-enfant,ABCmouseFun,airlearn,56,92,250,149,5.89
jeux-educatifs-enfant,ABCmouseFun,reading,55,98,250,30,8.10
jeux-educatifs-enfant,ABCmouseFun,learning games for: kids,55,48,231,11,10.83
jeux-educatifs-enfant,ABCmouseFun,learning games:for kids,55,53,234,11,10.83
jeux-educatifs-enfant,ABCmouseFun,drawing games,54,53,241,26,8.25
jeux-educatifs-enfant,ABCmouseFun,i ready,54,51,195,12,10.33
jeux-educatifs-enfant,ABCmouseFun,paw patrol,54,76,207,64,6.69
jeux-educatifs-enfant,ABCmouseFun,1234,54,53,239,74,6.49
jeux-educatifs-enfant,ABCmouseFun,saylo,54,95,250,71,6.54
jeux-educatifs-enfant,ABCmouseFun,toddler games,53,76,222,32,7.69
jeux-educatifs-enfant,ABCmouseFun,pearson,53,69,248,46,7.05
jeux-educatifs-enfant,ABCmouseFun,pok pok,53,90,250,47,7.02
jeux-educatifs-enfant,ABCmouseFun,games for toddlers,52,93,233,14,9.47
